topic,impact_mean,impact_p5,impact_p50,impact_p95,financial_mean,financial_p5,financial_p50,financial_p95,ellipse_width,ellipse_height,ellipse_angle,in_target_zone
T1 Water Resilience & Equitable Access,3.9790418312038645,3.8672948087758727,3.977839169966325,4.093632076098472,3.0725679042817973,2.8508685391746234,3.0713943221510682,3.3019113232419715,0.5847284250320702,0.29481677823831204,-179.94059501010025,True
T2 Digital & Cyber Infrastructure,3.0815738028766475,2.9251669631949127,3.0819920650526407,3.2427250925516127,2.7467839677922825,2.5035628330167974,2.738912475172733,3.0127303786782997,0.658360230587086,0.4120853972188094,-179.99878170642128,True
T3 Green Finance & Integrity,3.2430733399435128,3.0789013065733757,3.242521790323922,3.409013839297668,2.421648789462025,2.2378600232478645,2.4209441894520713,2.6106697849877594,0.4827616143293209,0.43085155298705574,-179.4813739988564,False
